country,value
Austria,81.09268293
Belgium,81.69756098
Bulgaria,74.36097561
Cyprus,81.889
Czechia,79.02926829
Germany,80.70560976
Denmark,81.30487805
Spain,83.08292683
Estonia,77.94390244
Finland,81.18780488
France,82.22926829
Greece,80.63658537
Croatia,77.57560976
Hungary,76.01707317
Ireland,83.05609756
Italy,82.9
Lithuania,75.79268293
Luxembourg,83.04634146
Latvia,74.5804878
Malta,82.7
Netherlands,81.71463415
Poland,77.30487805
Portugal,81.5804878
Romania,75.30487805
Slovak Republic,77.06585366
Slovenia,81.28292683
Sweden,83.1097561