year,north_america,europe,east_asia_pacific
1980,73.75503132,73.52957786,64.71690169
1981,74.15489713,73.80694559,65.19942467
1982,74.49424755,74.14825074,65.66703814
1983,74.6196276,74.2197,66.04540973
1984,74.73659588,74.61630367,66.43748293
1985,74.73592874,74.75378187,66.80390566
1986,74.79563308,75.04654429,67.15191774
1987,74.96373994,75.36718961,67.49701124
1988,74.97253051,75.5526123,67.74233687
1989,75.22662687,75.73662838,68.06317845
1990,75.43630626,75.81149745,68.27017915
1991,75.58795167,75.96014902,68.4922553
1992,75.83783741,76.30086911,68.95877061
1993,75.6464215,76.40883534,69.40109274
1994,75.84264346,76.71942958,69.66918986
1995,75.85550697,76.8784396,69.92265131
1996,76.24444016,77.14462395,70.20833402
1997,76.62556281,77.50532525,70.58369222
1998,76.78245935,77.7161399,70.97034433
1999,76.805024,77.94197903,71.16578606
2000,76.88515443,78.19590911,71.55255395
2001,77.0885957,78.54000408,72.11293429
2002,77.19229282,78.63019248,72.45024173
2003,77.30040777,78.65203407,72.86440322
2004,77.73477783,79.22825851,72.96315999
2005,77.74605793,79.37062691,73.43933501
2006,77.96879441,79.80319619,73.79191693
2007,78.23960639,80.04333649,74.03501181
2008,78.30377144,80.24671361,74.00471204
2009,78.65486419,80.45068796,74.5325075
2010,78.81720388,80.69361667,74.73430068
2011,78.92396965,81.17784684,74.97132237
2012,79.03287767,81.1741477,75.22971722
2013,79.04169766,81.45897312,75.47911471
2014,79.13625911,81.88967541,75.73116269
2015,79.00365825,81.51875355,75.94873612
2016,78.87973542,81.90869028,76.13787496
2017,78.87247485,81.8854775,76.21244006
2018,78.96584089,82.00454189,76.59395885
2019,79.14135663,82.28196281,76.79768228
2020,77.46271223,81.49343123,76.75970169
2021,76.87265827,81.59494697,76.39329502
2022,77.8387537,81.70138411,76.90204606